name,builtin_url,sectors,location,employees,description,hub
Dealer eProcess,https://builtin.com/company/dealer-eprocess,Automotive,"Lisle, Illinois, USA",149 Employees,"Located in the Western suburbs of Chicago, Dealer eProcess is a full service digital partner, with over 1,600 dealer groups across the United States, Canada, and Holland. Founded in 2006, Dealer eProcess upholds a service-first culture mentality. As a leading digital partner, Dealer eProcess has won numerous awards for outstanding customer service, websites, and digital marketing, including DrivingSales.com, AWA (Automotive...",chicago
Sol-Millennium Medical Group,https://builtin.com/company/sol-millennium-medical-group,Healthtech • Pharmaceutical • Manufacturing,3 Offices,171 Employees,"We are one of the world's largest manufacturers of needles and syringes. We are vertically integrated with locations across the globe. Our innovative technology helps reduce unnecessary injuries, saves on medication and enhances both clinician and patient experience. Our international sales team is dedicated to delivering knowledge and outstanding customer service. Our goal is to partner with those in healthcare,...",chicago
High Definition Vehicle Insurance (HDVI),https://builtin.com/company/high-definition-vehicle-insurance-hdvi,Automotive • Insurance,5 Offices,85 Employees,"High Definition Vehicle Insurance (HDVI): Technology meets Insurance. HDVI brings telematics, software and data together with commercial trucking insurance, taking transportation insurance and fleet risk management to the next level. Our platform arms fleets with an end-to-end solution that empowers them to save money, mitigate risk, and increase operational efficiencies. Our customers are small to midsize truck fleet operators who...",chicago
OSM Worldwide,https://builtin.com/company/osm-worldwide,Logistics • Transportation,"Glendale Heights, Illinois, USA",132 Employees,"OSM Worldwide provides reliable, data-driven shipping solutions that help businesses deliver packages faster and more cost-effectively. Our award-winning OSM Premium Network™ provides optimized processing, routing and delivery. Our partnership with the U.S. Postal Service ensures your packages are delivered anywhere in the nation in 1–5 business days. In addition, we maintain partnerships with leading postal authorities around the globe to...",chicago
Motion,https://builtin.com/company/motion,Artificial Intelligence • Productivity • Software,2 Offices,30 Employees,"Motion’s mission is to empower everyone to do their best work by automatically optimizing their schedule. By constantly monitoring and reorganizing people's to-do list and calendar, we help professionals make time for their highest priority tasks, reduce the stress of being overwhelmed by meetings, and make sure deadlines are never missed.",chicago
Atlas,https://builtin.com/company/atlas,Big Data • Cloud • HR Tech • Payments • Software,"Chicago, Illinois, USA",375 Employees,"Atlas enables innovative companies to compete in a global economy, believing that businesses should employ whomever they want, wherever the talent exists. As the largest Direct Employer of Record (EOR), Atlas is an expertise-enabled technology platform that delivers flexibility for companies to expand across borders, onboard talent, manage compliance, and pay their global workforce without the need for a local...",chicago
Winland Foods,https://builtin.com/company/winland-foods,Food • Manufacturing,"Oak Brook, Illinois, USA",699 Employees,"We are a global manufacturer of private label and branded foods for retail and co-pack customers. At our core, we're passionate about creating delicious food that brings people together. We take pride in using only the finest ingredients in our products, from our classic recipes to our innovative new creations. Every product we make meets the highest standards of taste,...",chicago
Wavicle Data Solutions,https://builtin.com/company/wavicle-data-solutions,Information Technology • Consulting,4 Offices,450 Employees,"Wavicle Data Solutions is a trusted cloud, data and analytics consulting and development partner for businesses that want to get more value from growing volumes of data. Well-known brands across industries work with our team of data management experts, cloud migration consultants, and analytics professionals to modernize their data environments; build robust analytics solutions; and leverage machine learning to improve...",chicago
Teton Ridge,https://builtin.com/company/teton-ridge,News + Entertainment • Sports,"Chicago, Illinois, USA",110 Employees,"Teton Ridge is the premier Western sports media, lifestyle & entertainment company and home of the Cowboy Channel.",chicago
Front,https://builtin.com/company/front,Logistics • Productivity • Software • Automation,5 Offices,310 Employees,"We are a customer operations platform that enables support, sales, and account management teams to deliver exceptional service at scale. Front streamlines customer communication by combining the efficiency of a help desk and the familiarity of email, with automated workflows and real-time collaboration behind the scenes. With Front, teams can centralize messages across channels, route them to the right person,...",chicago
Digital Theatre,https://builtin.com/company/digital-theatre,Edtech,"Chicago, Illinois, USA",74 Employees,"Established in 2009, Digital Theatre is the online home of over 200 (and growing) performances of world-class theatre. In 2011, Digital Theatre's flagship educational platform Digital Theatre+ was launched, providing institutions around the world with access to productions and educational resources to support the study of performing arts and dramatic texts. Today, Digital Theatre+ provides over 3,000 institutions around the...",chicago
Chomps,https://builtin.com/company/chomps,Food,2 Offices,46 Employees,"Chomps is a better-for-you meat snack brand with products made from the highest-quality, sustainably sourced proteins and no hidden, harmful ingredients. Chomps beef and venison are 100% grass-fed and finished, our turkey is free range, and all of our proteins are hormone free, antibiotic free, and humanely raised. Chomps meat snacks never contain added sugar, artificial preservatives or colors, MSG...",chicago
NurseDash,https://builtin.com/company/nursedash,Healthtech,4 Offices,131 Employees,NurseDash is aprovider of healthcare staffing application intended to streamline the hiring process connecting directly to qualified nurses.,chicago
Ensono,https://builtin.com/company/ensono,Cloud • Information Technology,4 Offices,"3,000 Employees","Ensono helps IT leaders be the catalyst for change by harnessing the power of hybrid IT to transform their businesses. Our broad services portfolio from mainframe to cloud, powered by an intelligent governance platform, is designed to help our clients operate for today and optimize for tomorrow. We are award-winning certified experts in AWS & Azure",chicago
Utica National Insurance Group,https://builtin.com/company/utica-national-insurance-group,Insurance,3 Offices,"1,366 Employees","Utica National Insurance Group is a Top 100, nationally recognized insurer providing personal and commercial insurance products and services, with the second-largest errors and omissions business in the United States. Utica National sells its products through more than 2,200 independent insurance agents and employs over 1,200 people countrywide. The company was founded in 1914 and is headquartered in New Hartford,...",chicago
Challenger Motor Freight Inc,https://builtin.com/company/challenger-motor-freight-inc,Logistics • Transportation,4 Offices,665 Employees,"Challenger is a North American leader in the supply chain industry and has been since its inception in 1975. The Challenger Group employs more than 2,000 people and operates approximately 1,500 trucks and 3,300 trailers. As one of the largest privately owned truckload carriers in Canada, Challenger has been consistently recognized by its customers and within the industry for the...",chicago
3Red Partners,https://builtin.com/company/3red-partners,Fintech • Financial Services,"Chicago, Illinois, USA",53 Employees,"3Red is a global trading firm committed to leveraging technology and quantitative research to implement a diverse set of trading strategies while managing risk and responding to dynamic market conditions. We hire extremely bright, talented, and motivated individuals to collaborate with each other and compete in the world’s financial markets. Our team has extensive, global experience in a wide variety of...",chicago
Sfermion,https://builtin.com/company/sfermion,Angel or VC Firm • Blockchain • Gaming • Virtual Reality • Analytics,"Fully Remote, USA",4 Employees,Invests in the non-fungible token (NFT) ecosystem. Three types of investments: 1. Equity investments into early-stage startups 2. Token investments (both liquid and illiquid tokens) 3. Direct NFT investments,chicago
Ariel Investments,https://builtin.com/company/ariel-investments,Financial Services,"Chicago, Illinois, USA",154 Employees,"Ariel Investments is headquartered in Chicago, with offices in New York City, San Francisco, and Sydney. We serve individual and institutional investors through our no-load mutual funds and separate accounts. Since our founding in 1983, we have been disciplined long-term investors. This defining characteristic is the cornerstone of our investment philosophy, and symbolized by our turtle logo and the firm’s...",chicago
Libra Solutions,https://builtin.com/company/libra-solutions,Fintech • Financial Services,"Rosemont, Illinois, USA",60 Employees,"Lien Management Software | Pre-Settlement Funding | MedLien Solutions® | Inheritance Funding Our services were developed by attorneys, healthcare providers, and innovators who saw that the legal system wasn’t working for many people. So they created new solutions to speed up cumbersome processes and provide financial relief to ensure positive outcomes for their customers. Libra Solutions continues to innovate, leveraging technology...",chicago
SES Satellites,https://builtin.com/company/ses-satellites-o,Aerospace • Digital Media • Information Technology • Internet of Things • Mobile • Software,20 Offices,"2,100 Employees","Intelsat and SES have joined forces, uniting 100 years of combined innovation and leadership to create the world’s leading space solutions company. As a newly combined company, we bring together talented teams with deep industry expertise to deliver integrated satellite and connectivity solutions for businesses and governments across the globe. With a powerful multi-orbit fleet, an expansive ground network, and strong financial...",chicago
Reach3 Insights,https://builtin.com/company/reach3-insights,Marketing Tech • Analytics • Consulting,"Chicago, Illinois, USA",86 Employees,"Reach3 Insights is a purpose-driven insights consultancy accelerated by modern technologies, immersive experiences, intelligent analytics and game-changing deliverables. Our seasoned research strategists provide ongoing, agile insights at scale through the power of conversation to propel positive, powerful outcomes for transformational organizations across all industries. We exist to liberate our industry from mediocrity and malaise. Through the power of creativity, innovation, optimism...",chicago
Baird,https://builtin.com/company/baird,Fintech,5 Offices,"4,040 Employees","Founded in 1919, Baird has guided families, businesses, communities and institutions toward their financial goals for a century. Today employee-owned Baird offers wealth management, investment banking, asset management, institutional sales and trading, equity research, public finance and private equity services through more than 160 offices in the United States, Europe and Asia. Baird manages and oversees more than $305 billion...",chicago
Aligned Data Centers,https://builtin.com/company/aligned-data-centers,Information Technology,5 Offices,363 Employees,"Aligned Data Centers is a leading technology infrastructure company offering innovative, sustainable, and adaptive Scale Data Centers and Build-to-Scale solutions for global hyperscale and enterprise customers",chicago
IKS Health,https://builtin.com/company/iks-health,Artificial Intelligence • Healthtech,5 Offices,"8,664 Employees","Our mission is to enable efficient and sustainable delivery of excellent care. The IKS Care Enablement Platform enables us to deliver the chores of healthcare, across administrative, clinical, and operational burdens, enabling clinicians and staff to focus on their core purpose of delivering great care to their patients. IKS Health creates transformative value in healthcare through a unique combination of cutting...",chicago
C.A. Fortune,https://builtin.com/company/ca-fortune,Marketing Tech • Professional Services • Sales,"Chicago, Illinois, USA",361 Employees,"We are committed to making brands better through passionate people and advancing technologies, inspiring healthier lifestyles for consumers and their families. As the nation's leading vertically integrated consumer brands agency, we seek to strengthen brands of all sizes from incubation to market leader, guided by the industry's thought leaders and cutting-edge technology.",chicago
IDFusion Software,https://builtin.com/company/idfusion-software,Information Technology • Business Intelligence • Consulting,2 Offices,30 Employees,"IDFusion is a digital transformation company and we help three specific groups of customers... - Fast growing small-to-medium sized companies that need help planning, researching, building, integrating or maintaining new and emerging tech their company needs to continue their growth; - Large multinational organizations that are looking for expertise in mobile to help them build, enhance, and maintain mobile applications;...",chicago
Veridian,https://builtin.com/company/veridian,Information Technology • Software,"Chicago, Illinois, USA",43 Employees,"Veridian is a technology and services leader specializing in software selection, implementation, and optimization of supply chain systems that enable omnichannel fulfillment. No matter the type of engagement we ensure clients are in a position to succeed by employing tools focused on efficiency, ease of use, and a proven implementation methodology. Our expertise implementing and optimizing the Manhattan Associates, HighJump,...",chicago
PGA TOUR Superstore,https://builtin.com/company/pga-tour-superstore,Sports • Esports,3 Offices,"1,261 Employees","At PGA TOUR Superstore, golf and tennis’ leading equipment and apparel destination across the United States, our vision to inspire guides all that we do – including how we grow, train and reward our team. As part of the Arthur M. Blank Family of Businesses, PGA TOUR Superstore strives to create a family atmosphere for all of our Associates. We...",chicago
Ryan Specialty,https://builtin.com/company/ryan-specialty,Insurance,"Chicago, Illinois, USA","3,696 Employees","Ryan Specialty (NYSE: RYAN) is an international specialty insurance firm that provides distribution, underwriting, product development, administration and risk management services by acting as a wholesale broker and a managing underwriter. Our mission is to provide industry-leading innovative specialty insurance solutions for insurance brokers, agents and carriers. Ryan Specialty was founded in 2010 by Patrick G. Ryan, the widely respected...",chicago
Primeforge,https://builtin.com/company/primeforge,Information Technology • Software • Consulting,"Chicago, Illinois, USA",15 Employees,"Primeforge helps tech leaders ship faster with vetted, embedded teams from emerging markets. We act as an extension of in-house teams, providing managed software delivery that blends US-grade engineering quality with cost efficiency. Our delivery-first approach helps SaaS, FinTech, and HealthTech companies accelerate roadmaps, reduce hiring bottlenecks, and maintain high standards - without the usual outsourcing headaches.",chicago
Jorie AI,https://builtin.com/company/jorie-ai,Artificial Intelligence • Healthtech • Information Technology • Software • Automation,5 Offices,956 Employees,"Ready to embrace the future of healthcare finance? Discover Jorie, where advanced AI technology harmoniously merges FinTech and HealthTech, revolutionizing your financial processes. Utilizing Robotic Process Automation (RPA) and sharp analytics, we deliver cost-effective solutions, amplifying profitability and scalability. Our AI drastically cut collection costs, boost revenue, and mitigate bad debt write-offs, all while ensuring smooth operations and informed decision-making....",chicago
Artisight,https://builtin.com/company/artisight,Healthtech,"Chicago, Illinois, USA",65 Employees,"Artisight is a pioneering healthcare technology company, transforming the industry with our ambient artificial intelligence software solutions. Our hardware-agnostic platform analyzes and aggregates data from a variety of sources, delivering high-fidelity, structured data that fuels automation and optimizes processes in healthcare environments.",chicago
Silkline,https://builtin.com/company/silkline,Artificial Intelligence • Hardware • Software,"Chicago, Illinois, USA",16 Employees,"Silkline is the platform that top hardware buying organizations use to seamlessly: 1. Collaborate with suppliers 2. Track requests, RFQs, quotes, orders, and more 3. Monitor team and vendor performance We centralize activity across your suppliers, provide real-time status updates, and integrate cleanly into your existing stack-no supplier onboarding required.",chicago
TopBloc,https://builtin.com/company/topbloc,Consulting,"Chicago, Illinois, USA",403 Employees,"TopBloc is a technology consulting firm that provides fixed-time, fixed-price Workday deployment services, and on-demand Workday support. We deliver our customers tailored solutions by combining our unique technology-backed approach with the expertise of a Workday services provider that has led over 150 launch deployments in the past 5 years. TopBloc leverages proprietary automation technology to quickly and pragmatically deploy Workday’s...",chicago
Beghou Consulting,https://builtin.com/company/beghou-consulting,Marketing Tech • Sales • Consulting,"Evanston, Illinois, USA",284 Employees,"Beghou Consulting provides sales force and marketing consulting services to clients in the pharmaceutical and health care industries. We bring significant expertise in addressing sales and marketing issues and in developing advanced analytic approaches to support our clients'​ decision-making. We pride ourselves on our growing list of long-term clients, for whom we deliver an increasing array of services and analyses. Our...",chicago
Decision Resources,https://builtin.com/company/decision-resources,Cloud • Information Technology • Software • Industrial,4 Offices,91 Employees,"Decision Resources is the #1 Gold Infor CloudSuite Industrial (SyteLine) ERP partner in the US with over 40 years of manufacturing expertise. We are proudly recognized as the Infor Cloud Partner of the Year and Infor Cloud Upgrade Partner of the Year. We have built long-lasting relationships with over 400 leading manufacturers, partnering with them to implement modern ERP software, industry-best...",chicago
DV Trading,https://builtin.com/company/dv-trading,Financial Services,"Chicago, Illinois, USA",314 Employees,"Founded more than 15 years ago and headquartered in Chicago, the DV Group of financial services firms has grown to more than 350+ people operating throughout North America and in Europe. Since spinning out of a large brokerage firm in 2016, DV Trading has rapidly scaled as an independent proprietary trading firm utilizing its own capital, trading strategies, and risk...",chicago
Ascend Technologies,https://builtin.com/company/ascend-technologies,Information Technology,"Chicago, Illinois, USA",263 Employees,"Ascend Technologies enables business growth with innovation and technology. We help you make IT investments with confidence, eliminate threats, meet the needs of the business and optimize user productivity. Your business endures, grows and innovates on a foundation of efficiently run core IT systems. We are here to help you make technology the catalyst for your business expansion. Visit www.teamascend.com...",chicago
Amount,https://builtin.com/company/amount,Fintech,"Chicago, Illinois, USA",166 Employees,"Amount provides a unified digital origination and decisioning platform that helps financial institutions meet the moment. Designed to scale with banks and credit unions at any stage of their digital journey, Amount delivers a seamless, digital-first experience-streamlining everything from loan origination to deposit account opening. With built-in fraud orchestration and risk management, Amount enables financial institutions to control risk across...",chicago
Constellation Brands,https://builtin.com/company/constellation-brands,Food • Marketing Tech,3 Offices,"5,837 Employees","Constellation Brands (NYSE: STZ) is a leading international producer and marketer of beer, wine, and spirits with operations in the U.S., Mexico, New Zealand, and Italy. Our mission is to build brands that people love because we believe elevating human connections is Worth Reaching For. It’s worth our dedication, hard work, and calculated risks to anticipate market trends and deliver...",chicago
SC&H,https://builtin.com/company/sc-h,Fintech • Software • Financial Services,3 Offices,460 Employees,"SC&H is a national consulting and financial services firm driving your business, technology, and teams forward. From strategic advice that propels growth to insightful data that shapes your future, we’re humanizing the interactions that matter most to you. Since 1991, we've ditched transactional engagements for rewarding experiences that meet the needs of the middle-market, Fortune 500s, SMBs, and high-net-worth individuals...",chicago
"RyTech, LLC",https://builtin.com/company/rytech-llc,Agency • Digital Media • eCommerce • Social Media • Design • SEO,"Fully Remote, USA",25 Employees,RyTech has quickly grown from its humble foundations in the Chicago suburbs to serving clients across the US. With offices in Chicago and Milwaukee we're prepared to take on our client's challenges. Our team is passionate about helping brands expand their reach and achieve their business goals in innovative and exciting ways. Are you ready to take the next step...,chicago
Prodly,https://builtin.com/company/prodly,Software,3 Offices,61 Employees,"Prodly enables Salesforce teams to increase productivity by 80% while reducing risk by up to 30% by putting next-gen DevOps into the hands of admins and citizen developers. By reimagining the change management experience, Prodly delivers greater business agility, governance and compliance without straining IT. The company’s DevOps offering has rapidly expanded from a CPQ data deployment tool to include...",chicago
City Year,https://builtin.com/company/city-year,Edtech • Hospitality,3 Offices,"2,904 Employees","City Year helps students and schools succeed, while preparing the next generation of civically engaged leaders who can work across lines of difference. Diverse teams of City Year AmeriCorps members provide support to students, classrooms and the whole school. Schools that partner with City Year are up to two to three times more likely to improve in English and math...",chicago
Accelerated Digital Media,https://builtin.com/company/accelerated-digital-media,Agency • Digital Media • eCommerce • Marketing Tech,"Fully Remote, USA",30 Employees,Accelerated Digital Media is a bootstrapped company that has recruited some of the top talent in digital marketing. We're on a mission to create one of the country's top digital marketing firms. ADM is a team of performance marketers specializing in paid media management for high-growth Digital Health and e-commerce companies. We work with our clients to manage their investments on...,chicago
TradingBlock,https://builtin.com/company/tradingblock,Artificial Intelligence • Blockchain • Fintech • Database • Financial Services • Cybersecurity • Big Data Analytics,"Chicago, Illinois, USA",25 Employees,"TradingBlock was recently named the 2025 Best Brokerage for Options Trading by Benzinga based on our commitment to providing investors, active traders, and investment professionals intuitive, fully customizable brokerage and trading solutions.",chicago
Beacon Funding,https://builtin.com/company/beacon-funding,Fintech • Payments • Financial Services,3 Offices,104 Employees,"Here at Beacon Funding, we’ve spent nearly 30 years establishing ourselves as the premier, full-service provider of financing solutions to all types of organizations throughout a wide variety of industries. Whether you’re an equipment manufacturer looking for a vendor financing partner or you’re looking to finance an equipment purchase for your business (think tow truck, boom truck, embroidery equipment), we...",chicago
BMM Logistics Inc.,https://builtin.com/company/bmm-logistics-inc,Logistics • Transportation,"Chicago, Illinois, USA",93 Employees,"BMM Logistics, Inc. is a fast growing Chicago based business. We are a third-party logistics provider servicing the United States and Canada. BMM is the bridge between businesses that need products shipped and transportation companies that need to keep their drivers moving. Driven by our dedicated sales team, BMM ensures to provide the best customer service to our customers, a pleasurable...",chicago
CapTech,https://builtin.com/company/captech,Information Technology • Consulting,8 Offices,"1,100 Employees","CapTech is a national consulting firm that helps clients grow efficient, successful businesses. We do so by bringing the data, systems, and ingenuity organizations need to stay ahead and transform what’s possible in a changing world. We are master builders, creators, and problem solvers who find inspiration in the unknown and enjoy getting our hands dirty as we design solutions...",chicago
G2,https://builtin.com/company/g2,Enterprise Web,3 Offices,600 Employees,G2 is the world's largest and most trusted software marketplace and source of data in the age of AI. More than 100 million people annually - including employees at all Fortune 500 companies - use G2 to make smarter software decisions based on authentic peer reviews. Thousands of software and services companies of all sizes partner with G2 to build...,chicago
WBEZ Chicago,https://builtin.com/company/wbez-chicago,Digital Media • News + Entertainment,"Chicago, Illinois, USA",45 Employees,"We are Chicago’s NPR news station, one of the largest and most respected public media stations in the country. Our mission is at the heart of WBEZ Chicago. We fulfill our mission at WBEZ by serving as a cornerstone of the public conversation; as a central pillar of our civic community; and by reasserting ourselves as the heart of innovation...",chicago
ThinkMarkets,https://builtin.com/company/thinkmarkets,Fintech • Information Technology,"Chicago, Illinois, USA",187 Employees,"ThinkMarkets is a premium multi-asset online brokerage. We offer quick and easy access to a wide range of markets including Forex, CFDs on equities, Cryptocurrencies, Commodities, Indices and more. We bring together people from different backgrounds with impressive skillsets, and together they make us even more than the sum of our parts.",chicago
E2open,https://builtin.com/company/e2open,Logistics • Sales,7 Offices,"31,304 Employees","At E2open, we’re creating a more connected, intelligent supply chain. It starts with sensing and responding to real-time demand, supply and delivery constraints. Bringing together data from customers, distribution channels, suppliers, contract manufacturers and logistics partners, our collaborative and agile supply chain platform enables companies to use data in real-time, with artificial intelligence and machine learning to drive smarter decisions....",chicago
Hopscotch Primary Care,https://builtin.com/company/hopscotch-primary-care,Healthtech,"Chicago, Illinois, USA",10 Employees,"Hopscotch Primary Care is a Chicago-based early-stage company bringing advanced primary care to rural communities across the country. After closing $15 million of Series A funding from top-tier healthcare and tech investors and a strategic partner in late 2021, we have accelerated hiring for our team to support market entry in 2022. We are hiring top talent across healthcare and tech...",chicago
Root,https://builtin.com/company/root,Automotive • Insurance • Machine Learning • Mobile • Software,2 Offices,750 Employees,"At Root, we’re doing things differently. We’re reimagining the services people need so that they serve them better. And we’re doing it by using data, technology, and rapid innovation to create products and experiences that are fair, easy, personal, and affordable. We’ve partnered with Carvana in a partnership that brings an industry-leading, seamless insurance process to the online car buying experience. The...",chicago
Cognitiv,https://builtin.com/company/cognitiv,Artificial Intelligence • Marketing Tech,4 Offices,150 Employees,"Cognitiv is a deep learning advertising company redefining how brands connect with consumers. Since 2015, we have built a custom AI platform that predicts consumer behavior in real time and drives performance at scale. Advertisers can activate through their preferred DSP, our managed service DSP, or our industry-first ContextGPT product. By combining advanced data science with flexible activation, we deliver...",chicago
Prospect (prospect-by-buildout.com),https://builtin.com/company/prospect-prospect-buildoutcom,Artificial Intelligence • Information Technology • Machine Learning • Software,"Rolling Meadows, Illinois, USA",39 Employees,"Based on the belief that better data and insights accelerate any business, Prospect by Buildout (formerly ProspectNow) is the only AI-powered real estate property ownership research and outreach tool that enables you to connect directly with true property owners at scale. Prospect by Buildout provides a solution that helps to scale businesses and save money. This is Prospect...",chicago
Airbnb,https://builtin.com/company/airbnb,Real Estate • Travel • PropTech,5 Offices,"14,622 Employees","Airbnb is a community based on connection and belonging-a community that was born in 2008 when two hosts welcomed three guests to their San Francisco home, and has since grown to 4 million hosts who have welcomed over 800 million guest arrivals to about 100,000 cities in almost every country and region across the globe. Hosts on Airbnb are everyday...",chicago
Pegasus Logistics Group,https://builtin.com/company/pegasus-logistics-group,Logistics • Transportation,6 Offices,475 Employees,"2023, 2022 & 2021 Certified Great Place to Work 2023, 2022, 2021 & 2020 Middle Market 50 - DBJ 2020 Dallas Best & Brightest 2018 Forbes Small Giants 2018 Dallas 100 Fastest Growing Companies SMU 2018 Inc. 5000 Fastest Growing - Inc. Magazine 2018, 2017 & 2016 Best Places to Work - Dallas Business Journal Since 1994, Pegasus has worked tirelessly to...",chicago
Arturo,https://builtin.com/company/arturo,Artificial Intelligence • Computer Vision • Insurance • Machine Learning,"Chicago, Illinois, USA",53 Employees,"Arturo is an AI property analytics company that empowers companies with unparalleled property insights to make the most innovative and best decisions for their business and clients. Arturo delivers on-demand property data utilizing multi-source imagery via a configurable API, enabling better risk assessment.",chicago
Focused,https://builtin.com/company/focused,Artificial Intelligence • Cloud • Information Technology • Mobile • Software • Consulting,2 Offices,34 Employees,"Focused is a software services company that builds agentic AI and custom software. Our expert engineers and designers build custom agents that integrate seamlessly with the systems you already run. What sets Focused apart is our hands-on, collaborative approach. We don’t just build and deliver software, we partner with your teams to ensure that we are building the right solution...",chicago
CVS Health,https://builtin.com/company/cvs-health,Fitness • Healthtech • Retail • Pharmaceutical,7 Offices,"119,959 Employees","CVS Health is the leading health solutions company that delivers care in ways no one else can. We reach people in more ways and improve the health of communities across America through our local presence, digital channels and our nearly 300,000 dedicated colleagues – including more than 40,000 physicians, pharmacists, nurses and nurse practitioners. Wherever and whenever people need us, we...",chicago
TrendSpider,https://builtin.com/company/trendspider,Information Technology • Consulting,"Chicago, Illinois, USA",23 Employees,"TrendSpider is a new, innovative trading platform designed to level the playing field for retail traders",chicago
"Salesberry Group, LLC",https://builtin.com/company/salesberry-group-llc,Business Intelligence • Consulting • Financial Services,"Chicago, Illinois, USA",23 Employees,"Salesberry Group is a financial, people, and general operations firm serving progressive organizations. Our mission is to support members of the progressive movement in creating a more just and equitable existence for all. Whether serving as short-term consultants to launch new programs or initiatives, or as a part-time CFO/COO, we provide the knowledge and expertise you need to have your organization...",chicago
Shipbob,https://builtin.com/company/shipbob-inc,Big Data • Logistics • Analytics,"Chicago, Illinois, USA",555 Employees,"Founded in 2014, ShipBob is a tech-enabled 3PL that offers simple, fast and affordable fulfillment for thousands of brands with an international fulfillment network across the US, Canada, Europe, and Australia. ShipBob's proprietary technology combines order and inventory management, warehouse management, predictive data and analytics, as well as optimized shipping for ecommerce companies.",chicago
OneSpan,https://builtin.com/company/onespan,Security • Software,"Chicago, Illinois, USA",850 Employees,"OneSpan enables financial institutions and other organizations to succeed by making bold advances in their digital transformation. We do this by establishing trust in people’s identities, the devices they use, and the transactions that shape their lives. We believe that this is the foundation of enhanced business enablement and growth.",chicago
Wavvest,https://builtin.com/company/wavvest,Artificial Intelligence • Fintech • Software,"Chicago, Illinois, USA",,"Wavvest is a wealthtech platform that helps financial advisors and RIAs run their businesses more efficiently. We provide an all-in-one operating system that combines portfolio management, trading, client reporting, and back-office automation in a single seamless solution. By removing the need for fragmented tools and manual processes, Wavvest empowers advisors to focus on serving clients, scaling their practices, and staying...",chicago
Riveron,https://builtin.com/company/riveron,Fintech • Consulting,14 Offices,611 Employees,"Riveron is a business advisory firm specializing in accounting, finance, technology, and operations. We partner with our clients to elevate performance and expand possibilities across the transaction and business lifecycle. Our thoughtfully integrated, multi-disciplinary teams bring deep functional expertise, first-hand industry knowledge, and experience-based creativity and perspective to generate tailored solutions to address any challenge. Founded in 2006, Riveron is...",chicago
BlueCloud,https://builtin.com/company/bluecloud-0,Information Technology • Consulting,3 Offices,367 Employees,"BlueCloud proudly stands at the forefront of data and analytics, GenAI, and cloud transformation. As a leading Snowflake partner, we offer our clients tailored solutions using the latest cloud technologies. Our suite of premium services includes digital strategy, data engineering and analytics, digital services, and cloud operations-all offered at competitive rates, thanks to our unique flexible delivery model. At BlueCloud,...",chicago
Tyson Foods,https://builtin.com/company/tyson-foods,Food • Manufacturing,3 Offices,"24,043 Employees","World's largest processor and marketer of protein food products. We think differently and we act boldly. At Tyson Foods, we're not only ready for tomorrow, we’re leading the way. We are a company of people engaged in the production of food, seeking to pursue truth and integrity, and committed to creating value for our shareholders, our customers, our team members, and our...",chicago
Civis Analytics,https://builtin.com/company/civis-analytics,Big Data • Machine Learning • Marketing Tech • Software,"Chicago, Illinois, USA",200 Employees,"Civis Analytics helps leading businesses, nonprofits, and government agencies use data to identify, attract, and engage customers, constituents, and citizens. We use proprietary data, technology and advisory services, and an interdisciplinary team of data scientists, developers, and survey science experts, Civis helps organizations stop guessing.",chicago
STEAMe LLC,https://builtin.com/company/steame-llc,Social Impact • Software,"Chicago, Illinois, USA",22 Employees,"STEAMe's digital and data platform powers workforce development pathways to employment, connects system partners, simplifies workflows, and helps get the right person, to the right training, and the right job, so people and communities can flourish.",chicago
INX International Ink Co.,https://builtin.com/company/inx-international-ink-co,Chemical,"Schaumburg, Illinois, USA",967 Employees,"INX International Ink Co. produces and supplies ink and coatings for paper packaging, flexible packaging, rigid packaging, commercial printing, and digital printing applications in the United States and internationally. One of North America’s top three ink providers, INX focuses solely on formulations for printing, from basic chemistries to finished product. An industry leader in customizable visual solutions, INX International integrates...",chicago
JLL Technologies,https://builtin.com/company/jll-technologies,Information Technology • Software,2 Offices,"2,038 Employees","JLL Technologies (JLLT), a division of Jones Lang LaSalle, delivers market-leading technology and services to power the future of real estate. With a comprehensive portfolio of purpose-built solutions, unparalleled industry expertise and leading-edge, venture-backed companies, JLLT is transforming the way companies acquire, operate, and manage spaces. With a growing team of some of the brightest minds in technology and real...",chicago
Formic,https://builtin.com/company/formic,Internet of Things • Robotics • Software,"Chicago, Illinois, USA",63 Employees,Formic is focused on unlocking robotic automation in small to mid-sized American manufacturers. Our innovative “Robotics-as-a-Service” model combines financial innovation with a firm understanding of robotics to enable manufacturing customers to deploy and scale automation quickly and with minimal risk. Our mission is to make “building things” trivial and easy. Every factory should have access to unlimited “labor” through automation without...,chicago
Intersection,https://builtin.com/company/intersection,Marketing Tech,10 Offices,"2,085 Employees",Transform the urban environment with smart city solutions and innovative outdoor advertising that reach and engage audiences throughout their day.,chicago
