name,builtin_url,sectors,location,employees,description,revenue_model,work_regime,primary_function,secondary_function,is_michigan_hq
Rain,https://builtin.com/company/rain-1,Blockchain • Fintech • Payments • Financial Services • Cryptocurrency • Web3 • Infrastructure as a Service (IaaS),"New York, New York, USA",100 Employees,"Our technology makes it easy for companies—from fast-growing startups to global fintechs—to integrate stablecoins into their products, platforms, and payment flows. Whether they’re launching a credit card program, enabling cross-border payments, or embedding wallets, Rain builds the tools to do it fast, flexibly, and compliantly. We’re built for the next generation of global finance. Our infrastructure combines the stability of trusted...",Usage-based,Startup/Venture,Tool,Bureaucracy,no
Accuris,https://builtin.com/company/accuris,Information Technology • Machine Learning • Software • Conversational AI • Generative AI • Manufacturing,10 Offices,"1,200 Employees","Accuris empowers the next generation of engineers to solve tomorrow’s problems today. Our combination of trusted data, insights, and innovative technology solutions enable business and technical leaders to transform their workflows and make decisions with conviction - bringing their dreams to life in faster, smarter, and cleaner ways.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Opendoor,https://builtin.com/company/opendoor,eCommerce • Fintech • Real Estate • Software • PropTech,10 Offices,"1,600 Employees","Founded in 2014, Opendoor’s mission is to empower everyone with the freedom to move. We believe the traditional real estate process is broken and confusing. It often comes with unexpected costs, the added burden of coordinating multiple third parties and the uncertainty of a transaction falling through. Our goal is simple: build a digital, end-to-end customer experience that makes buying...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Tempus AI,https://builtin.com/company/tempus,Artificial Intelligence • Big Data • Healthtech • Machine Learning • Analytics • Biotech • Generative AI,11 Offices,"3,775 Employees","We bring together one of the world’s largest libraries of multimodal clinical and molecular data with a robust suite of AI tools to help physicians personalize care in real time, connect patients with therapies and clinical trials, and enable partners to accelerate discovery and development of new treatments. With ~8 million de-identified research records and 350+ petabytes of data, Tempus partners...",Licensing,Startup/Venture,Tool,Bureaucracy,no
Augury,https://builtin.com/company/augury,Artificial Intelligence • Hardware • Internet of Things • Machine Learning • Software • Manufacturing,3 Offices,203 Employees,"Our mission is to provide manufacturers and other industrial sectors with insights into the health of machines, processes, and operations to transform how people work and what they can create. A pioneer in Machine Health and Process Health solutions, we use purpose-built AI, trained by industry experts and the world’s largest data library, to help customers eliminate production downtime, improve...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Nisos,https://builtin.com/company/nisos,Professional Services • Security • Software • Consulting • Cybersecurity • Generative AI • Data Privacy,2 Offices,70 Employees,"Nisos is a human risk intelligence and managed investigations company that protects organizations and their people from human-driven and digital threats by operating as an extension of their security, intelligence, and legal teams. It leverages a team of expert analysts, specialized in open-source intelligence and adversary tradecraft, to provide actionable intelligence that addresses complex risks like executive threats, insider fraud,...",Services,Startup/Venture,Tool,Bureaucracy,no
Scrunch,https://builtin.com/company/scrunch-ai,Artificial Intelligence • Information Technology • Marketing Tech • Software • SEO,"Fully Remote, USA",,"Scrunch AI is the leading platform for helping brands gain visibility in AI search results. As discovery shifts from traditional SEO to large language models and AI agents, Scrunch provides marketers with the platform to understand how their brand is being interpreted — and the necessary technology infrastructure to shape it.",Subscription,Startup/Venture,Tool,Media,no
Learneo,https://builtin.com/company/learneo,Artificial Intelligence • Edtech • Machine Learning • Software,6 Offices,397 Employees,"Learneo is pioneering a platform of productivity and learning businesses. The platform of businesses includes CliffsNotes, the original and iconic study guide company; Course Hero, an online learning platform of academic resources; LanguageTool, a multilingual writing platform; LitCharts, a creator of literature resources; QuillBot, an AI-powered writing companion; Scribbr, a multilingual academic proofreading service; StudentBrands, a suite of supplemental learning...",Mixed,Corporate Agile,Tool,Media,no
Lansweeper,https://builtin.com/company/lansweeper,Cloud • Information Technology • Software,6 Offices,404 Employees,"Managing a technology estate has never been a bigger challenge. Hardware, software, and users can be anywhere at any time, making IT environments extremely dynamic and often complex. A seemingly simple question has become terribly difficult to answer: ‘Who is using what device?’ CIO's, CTO's, IT managers, ... have to make decisions that are often based on scattered, out of date,...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Block,https://builtin.com/company/block-inc,Blockchain • eCommerce • Fintech • Payments • Software • Financial Services • Cryptocurrency,23 Offices,"12,000 Employees","Block, Inc. is a global technology company with a focus on financial services. Made up of Square, Cash App, Afterpay, TIDAL, Bitkey, and Proto, Block, Inc. builds technology to increase access to the global economy. Each of our brands unlocks different aspects of the economy for more people. Square makes commerce and financial services accessible to sellers. Cash App is the...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
Realtor.com,https://builtin.com/company/realtorcom,Big Data • Real Estate • Software,3 Offices,"1,250 Employees","We pioneered the world of digital real estate more than 25 years ago. Today, through our website and mobile apps, we are a trusted guide for consumers, empowering more people to find their way home by breaking down barriers, helping them make the right connections, and creating confidence through expert insights and guidance. For professionals, we are a trusted partner...",Mixed,Corporate Agile,Media,Tool,no
SoFi,https://builtin.com/company/sofi,Fintech • Mobile • Software • Financial Services,7 Offices,"4,500 Employees","SoFi wasn’t built to be a bank. Or a technology company. We were built for one mission: help people achieve financial independence so they can realize their ambitions. Redefining an entire industry isn’t easy work—and it’s not for the faint of heart. It takes a certain kind of team. People with diverse perspectives and expertise, united by a common sense of...",Mixed,Startup/Venture,Bureaucracy,Tool,no
Attain,https://builtin.com/company/attain,AdTech,4 Offices,146 Employees,"Attain is the most trusted and comprehensive source for permissioned, real-time purchase data in the United States. By connecting directly with over 10 million consumers, Attain delivers unmatched accuracy and scale across audience activation, insights, and in-flight optimization, and measurement, helping marketers tie every dollar of media to real-world sales outcomes. Attain’s portfolio of owned and operated apps, spanning financial...",Advertising,Startup/Venture,Tool,Media,no
Garner Health,https://builtin.com/company/garner-health,Big Data • Healthtech • HR Tech • Machine Learning • Software • Telehealth • Big Data Analytics,2 Offices,350 Employees,"Garner Health is a health tech startup that is transforming the healthcare economy by enabling patients to receive high-quality and affordable care. Garner Health has two core offerings: Garner, a benefit program that uses a new approach to data science and incentive accounts to help employees find the best doctors in their communities, and Garner DataPro, a provider recommendation platform...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Northslope Technologies,https://builtin.com/company/northslope-technologies,Artificial Intelligence • Information Technology • Software • Analytics • Consulting • Generative AI,4 Offices,88 Employees,"https://www.youtube.com/@northslope-technologies At Northslope, we believe that purpose-built AI products in the hands of business operators create far more value than slide decks or off-the-shelf software. That’s why we partner with ambitious organizations to transform entire industries through Palantir’s Foundry and AIP platforms—delivering powerful, measurable outcomes in weeks, not years. We operate more like a product startup than a traditional services firm. Our...",Services,Startup/Venture,Tool,Bureaucracy,no
Oso,https://builtin.com/company/oso,Security • Software • Infrastructure as a Service (IaaS),"New York, New York, USA",36 Employees,"Authorization controls who has access to what in an app. It’s a problem as old as computers, and it turns out, it’s a hard problem. At Oso, we help our customers build features to meet enterprise requirements, like fine-grained access controls or custom roles and permissions. We also provide the tools needed to build the next generation of secure, permissions...",Subscription,Startup/Venture,Tool,Bureaucracy,no
ALIS,https://builtin.com/company/alis-medtelligent,Healthtech • Sales • Software,"Chicago, Illinois, USA",79 Employees,"We are a purpose driven healthcare technology company passionate about innovation and using technology to help people by solving real world problems. The ALIS team designs, builds, delivers, and supports our flagship product ALIS (pronounced “Alice” and stands for Assisted Living Integrated Solution).",Subscription,Startup/Venture,Tool,Bureaucracy,no
Inspira Financial,https://builtin.com/company/inspira-financial,Fintech,3 Offices,"1,805 Employees","Inspira Financial provides health, wealth, retirement, and benefits solutions that strengthen and simplify the health and wealth journey. With more than 7 million clients, representing over $62 billion in assets, Inspira works with thousands of employers, plan sponsors, recordkeepers, TPAs, and other institutional partners — helping the people they care about plan, save, and invest for a brighter future. Inspira...",Mixed,Corporate Agile,Bureaucracy,Tool,no
Kalderos,https://builtin.com/company/kalderos,Big Data • Healthtech • Software • Analytics • Pharmaceutical • Infrastructure as a Service (IaaS),2 Offices,120 Employees,"Kalderos is a data infrastructure and analytics company that’s solving challenges around drug discounts in the U.S. healthcare system. Through platform technology and big data, our team is delivering smart solutions that enable healthcare stakeholders to collaborate with greater transparency and trust. We’re passionate about our mission to take on the most stubborn challenges in healthcare. We also know that...",Subscription,Startup/Venture,Tool,Bureaucracy,no
PwC,https://builtin.com/company/pwc,Artificial Intelligence • Professional Services • Business Intelligence • Consulting • Cybersecurity • Generative AI,74 Offices,"370,000 Employees","Build what’s next — with tech that matters PwC provides professional services across Audit and Assurance, Advisory and Tax — powered by a global network of over 370,000 people in 149 countries. You may know us for our business expertise, but technology is core to how we help clients move faster, build trust and deliver meaningful outcomes. As a technologist, you’ll work...",Services,Corporate Agile,Bureaucracy,Tool,no
Optimum,https://builtin.com/company/optimum,AdTech • Digital Media • Internet of Things • Marketing Tech • Mobile • Retail • Software,3 Offices,"9,000 Employees","We Make a Difference Because We Are the Difference! At Optimum, we’re not just connecting people – we’re transforming how they experience the world. With a footprint spanning 21 states and serving approximately 4.5 million residential and business customers, we're building the future of connectivity through innovative services like Optimum Fiber Internet, Optimum TV, and Optimum Mobile. This connectivity wouldn’t...",Subscription,Corporate Agile,Tool,Media,no
Jasper,https://builtin.com/company/jasper,Artificial Intelligence • Marketing Tech • Software • Generative AI • Automation,3 Offices,220 Employees,"Jasper is the industry's first intelligent, intuitive workspace for marketers. Powered by intelligent Agents, Jasper helps redefine marketing processes while providing a rich context layer, ensuring content is resonant and compliant – even at scale.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Fora,https://builtin.com/company/fora-travel,Agency • On-Demand • Professional Services • Sales • Software • Travel • Hospitality,"New York, New York, USA",170 Employees,"Fora is the modern travel agency, redefining what it means to be a travel advisor in today’s world. We’re a next-generation platform that provides a comprehensive, business-in-a-box solution—combining cutting-edge technology, personalized training, a vibrant community, and exclusive industry partnerships—all designed to empower anyone with a passion for travel to turn that passion into a thriving business. Whether you're a travel...",Mixed,Startup/Venture,Tool,Bureaucracy,no
Hiya Inc.,https://builtin.com/company/hiya-inc,Artificial Intelligence • Cloud • Mobile • Security • Software,3 Offices,145 Employees,"Hiya is trusted by global businesses, carriers, and consumers to enable secure, engaging connections and stop unwanted calls. Hiya is pioneering the next generation of AI-powered voice intelligence with real-time analysis and an AI assistant to enhance voice protection, productivity, and call performance. Hiya connects businesses with their customers, helps carriers secure their networks, and protects people from spam and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
zLinq,https://builtin.com/company/zlinq-inc,Cloud • Information Technology • Other • Sales • Software • Consulting,"Fully Remote, USA",45 Employees,"zLinq is a dynamic and fun start-up that offers an opportunity to build something cool, do it right and have fun while doing it. We exist to transform the communications industry in a way that puts a smile on the faces of our clients, employees and investors. When you think about it, almost everything we do today is running over...",Mixed,Startup/Venture,Tool,Bureaucracy,no
GrayMatter Robotics,https://builtin.com/company/graymatter-robotics,Artificial Intelligence • Hardware • Productivity • Robotics • Software • Automation • Manufacturing,"Carson, California, USA",90 Employees,"Headquartered in sunny Los Angeles, GrayMatter Robotics is an AI robotics company that builds the factories of the future today, empowering people, creating safer workplaces, and shaping a more prosperous society. We build next-generation factories that transcend human constraints, driving exponential productivity and sustainable economic growth. Our technology brings together robotics, Physical AI, and human ingenuity to create intelligent systems...",Hardware sales,Startup/Venture,Tool,None,no
M-Files,https://builtin.com/company/m-files,Information Technology • Productivity • Professional Services • Software • Business Intelligence,9 Offices,500 Employees,"M-Files is redefining how work gets done. Our context-first document management system offers purpose-built business use cases—spanning universal and industry-specific workflows—to enable secure collaboration, automate processes, and ensure governance. Unlike traditional systems, M-Files organizes content around the context of your business, connecting documents to related people, projects, and transactions. With our unique metadata-driven architecture, organizations can model content in line...",Licensing,Startup/Venture,Bureaucracy,Tool,no
Zynga,https://builtin.com/company/zynga,Gaming,6 Offices,"2,449 Employees","Zynga was founded in 2007 with the vision that play would become one of the core activities on the Internet. We pioneered social games with the belief that if we could make games simple, accessible and social the world would start playing. We are excited that games have grown to become the second most popular activity by time spent, even...",Advertising,Startup/Venture,Media,None,no
Fulcrum GT,https://builtin.com/company/fulcrum-gt,Cloud • Legal Tech • Software,4 Offices,501 Employees,"Fulcrum GT provides innovative end-to-end digital business solutions for the Legal and Professional Services markets. Our true cloud SaaS solutions incorporate over 20,000+ industry-specific features built on best practices and are deployed in the quickest time-to-value in the industry. Our clients represent the most progressive and largest professional services firms around the globe. We connect the professional services ecosystem through...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Relativity Space,https://builtin.com/company/relativity-space,Aerospace • Hardware • Robotics • Software • Manufacturing,5 Offices,"2,200 Employees","Relativity Space is on a mission to better connect humanity to space and the universe beyond our planet. Our medium-to-heavy lift reusable rocket, Terran R, will deliver customer payloads to orbit, meeting the growing demand for launch capacity. But that’s just the start. Achieving commercial success with Terran R will unlock new opportunities to advance science, exploration, and innovation, pioneering progress that...",Services,Startup/Venture,Tool,None,no
Datadog,https://builtin.com/company/datadog,Artificial Intelligence • Cloud • Security • Software • Cybersecurity,16 Offices,"6,500 Employees","Datadog (NASDAQ: DDOG) is a global SaaS business, delivering a rare combination of growth and profitability. We are on a mission to break down silos and solve complexity in the cloud age by enabling digital transformation, cloud migration, and infrastructure monitoring of our customers' entire technology stacks. Built by engineers, for engineers, Datadog is used by organizations of all sizes...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Tulip,https://builtin.com/company/tulip,Enterprise Web • Hardware • Internet of Things • Software,6 Offices,310 Employees,"Tulip, the leader in frontline operations, is helping companies around the world equip their workforce with connected apps, leading to higher quality work, improved efficiency, and end-to-end traceability across operations. Companies of all sizes and across industries have implemented composable solutions with Tulip’s cloud-native, no-code platform to solve some of the most pressing challenges in operations: error-proofing processes and boosting...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Beyond Finance,https://builtin.com/company/beyond-finance,Fintech • Financial Services,3 Offices,"1,400 Employees","Grow along with our rapidly expanding organization and help us build and serve up customized, unique technological and client service solutions! We’re pushing the boundaries of what a debt consolidation company can offer. But our mission to uplift isn’t limited to our clients — we know our people deserve to be elevated to their highest potential through growth opportunities, a...",Services,Startup/Venture,Tool,Bureaucracy,no
TrueML,https://builtin.com/company/trueml,Fintech • Machine Learning • Payments • Social Impact • Software • Financial Services,6 Offices,450 Employees,"TrueML makes financial technology that prioritizes customer experience and revolutionizes the experience of consumers seeking financial health. We’re a team of inspired data scientists, financial services industry experts, and customer experience fanatics creating experiences that serve people in a way that recognizes their unique needs and preferences as human beings and endeavoring to ensure nobody gets locked out of the...",Subscription,Startup/Venture,Tool,Bureaucracy,no
January,https://builtin.com/company/january,Artificial Intelligence • Fintech • Payments • Social Impact • Analytics • Financial Services • Automation,2 Offices,111 Employees,"At January, we bring humanity to consumer finance. Using data intelligence, we create trust and deliver better outcomes for consumers and creditors alike. Our mission is simple: expand access to credit while empowering consumers to achieve lasting stability and control of their financial lives. We began by building the foundation for creditors to engage with and support their borrowers at scale...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Apryse,https://builtin.com/company/apryse,Productivity • Software • App development • Automation,5 Offices,665 Employees,"Apryse, previously known as PDFTron, takes document solutions to the next level, making work better and life simpler. As a global leader in document processing technology, Apryse gives developers, enterprise customers, and small businesses the tools they need to reach their document goals faster and easier. Apryse’s market-leading SDK drives digital transformation and powers next-generation software applications with dynamic document...",Licensing,Startup/Venture,Tool,None,yes
Kalshi,https://builtin.com/company/kalshi,Fintech • Payments • Financial Services,"New York, New York, USA",203 Employees,"Kalshi is the largest legal prediction market in the U.S., enabling traders to buy and sell contracts on the outcome of real-world events- from interest rate decisions and inflation numbers to whether a bill passes Congress or a major company CEO steps down. Approved by the CFTC, Kalshi created a new asset class called event contracts, which allow market participants...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Rokt,https://builtin.com/company/rokt,Artificial Intelligence • Digital Media • eCommerce • Marketing Tech • Software • Automation,11 Offices,800 Employees,"Rokt is the global leader in ecommerce, unlocking real-time relevance in the moment that matters most - The Transaction Moment. Rokt’s AI Brain and Ecommerce Network powers billions of transactions connecting hundreds of millions of customers, and is trusted to do this by the world’s leading companies including Live Nation, Macy’s, Fanatics, AMC Theatres, PayPal, Uber, Hulu, Staples, Albertsons and...",Transaction fees,Startup/Venture,Tool,Bureaucracy,no
The Farmer's Dog,https://builtin.com/company/farmers-dog,eCommerce • Food • Pet,3 Offices,260 Employees,"The Farmer’s Dog was born from a mission to change the landscape of pet health, providing dogs and their humans with honest, smart, and simple care. We’re starting by radically improving the $90 billion pet food industry, replacing bulk bags of highly-processed mystery pellets with a personalized subscription service that sends healthy, freshly-made dog food directly to customers’ doors. Our...",Subscription,Startup/Venture,Tool,Media,no
Genius Sports,https://builtin.com/company/genius-sports,AdTech • Artificial Intelligence • Machine Learning • Marketing Tech • Software • Sports • Big Data Analytics,13 Offices,"1,800 Employees","Genius Sports is the layer between what happens on the field and how the world engages with it. Our solutions across the global sports ecosystem are underpinned by our next generation big data and artificial intelligence platform, GeniusIQ. By ingesting and computing multiple real-time data feeds, GeniusIQ powers a wide range of functions and applications across sports performance and officiation, fan engagement,...",Mixed,Startup/Venture,Tool,Media,no
OCC,https://builtin.com/company/occ,Big Data • Cloud • Fintech • Information Technology • Financial Services,3 Offices,"1,200 Employees","As the foundation for secure markets, OCC is a customer-driven organization that delivers world-class Risk Management, Clearing, and Settlement Services for a sophisticated mix of financial products that includes standard options, stock loans, and futures contracts.",Transaction fees,Government/Public Sector,Bureaucracy,Tool,no
BrainPOP,https://builtin.com/company/brainpop,Edtech • Kids + Family • Social Impact • Software,2 Offices,225 Employees,"BrainPOP, a learning company, empowers kids to shape the world around them and within them. Educators and families across the globe rely on BrainPOP to be the best part of a learner's day—sparking curiosity, building confidence, and bringing joy into the classroom and at home. For more than 25 years, BrainPOP has supported millions of students, and in 2022, it...",Subscription,Startup/Venture,Media,Tool,no
Tastewise,https://builtin.com/company/tastewise,Artificial Intelligence • Big Data • Food • Retail • Software • Generative AI • Big Data Analytics,"New York, New York, USA",120 Employees,"At Tastewise, we’re reinventing how the food and beverage industry understands consumers. Every year, 90% of product innovation in food fails -not because brands lack ideas, but because they lack accurate, real-time insight into what people truly want. Traditional surveys and focus groups can’t keep up with the speed of culture, leaving businesses disconnected from consumer needs. Tastewise solves that. Our...",Subscription,Startup/Venture,Tool,Media,no
Doximity,https://builtin.com/company/doximity,Healthtech • Information Technology • Mobile • Productivity • Software • Analytics • Telehealth,"Fully Remote, USA",740 Employees,"Founded in 2010, Doximity is the leading digital platform for U.S. medical professionals. Our network members include over 80% of U.S. physicians across all states and every medical specialty. Our mission is to help every physician be more productive and provide better care for their patients. We are physicians-first, putting technology to work for doctors instead of the other way around....",Subscription,Startup/Venture,Tool,Media,no
DigitalOcean,https://builtin.com/company/digitalocean,Artificial Intelligence • Cloud • Software • Infrastructure as a Service (IaaS),3 Offices,"1,400 Employees","DigitalOcean is the Inference Cloud — a full-stack, production-ready cloud platform built to run AI applications with predictable performance, sustainable economics, and radically simpler operations at scale. We are built for teams turning AI into real products — not just training models. Our advantage is not fewer features, but fewer failure modes when operating AI at scale — combining minimal...",Usage-based,Startup/Venture,Tool,None,no
Vibes,https://builtin.com/company/vibes,Marketing Tech • Mobile • Software,"Chicago, Illinois, USA",140 Employees,"At Vibes, our premier mobile messaging platform helps world-class brands intelligently automate and optimize their mobile marketing outcomes through the power of SMS, MMS, RCS and Mobile Wallet. Industry leaders like Chipotle, Kohl’s, Polo Ralph Lauren, The Children's Place, KFC, Ulta Beauty, and others use Vibes to grow their customer relationships with relevant, high-volume mobile messaging and mobile wallet marketing on...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Alloy,https://builtin.com/company/alloy,Fintech • Information Technology • Software • Financial Services,"New York, New York, USA",315 Employees,"Alloy is the only end-to-end identity risk management platform for companies that offer financial products. Beginning with origination and account opening, Alloy provides over 600 of the world's leading banks, credit unions, and fintechs with a scalable, flexible platform to manage identity risk throughout the customer lifecycle. With configurable solutions for fraud, credit and compliance risk, dedicated expert guidance and...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Liberty Mutual Insurance,https://builtin.com/company/liberty-mutual-insurance,Artificial Intelligence • Fintech • Insurance • Marketing Tech • Software • Analytics,5 Offices,"40,000 Employees","Liberty Mutual Insurance exists to help people embrace today and confidently pursue tomorrow. A Fortune 100 company and global leader in property and casualty insurance, we’ve spent over a century creating innovative products, services and technologies to meet the world’s ever-changing needs and make a difference for our customers and communities.",Licensing,Corporate Agile,Bureaucracy,Tool,no
ReversingLabs,https://builtin.com/company/reversinglabs,Information Technology • Software • Cybersecurity,5 Offices,307 Employees,"At ReversingLabs, we are providing the world’s largest threat intelligence repository to protect software development and power advanced security solutions, keeping the most advanced cybersecurity organizations and Fortune 500 enterprises informed and ahead of the threats. Our software supply chain security and threat intelligence solutions have become essential to advancing enterprise cybersecurity maturity globally. Notable breaches such as SolarWinds, CircleCI and...",Subscription,Startup/Venture,Bureaucracy,Tool,no
"Vestmark, Inc.",https://builtin.com/company/vestmark-inc,Fintech • Software,2 Offices,400 Employees,"Headquartered outside of Boston, Mass. and founded in 2001, Vestmark is a leading provider of portfolio management/trading solutions and outsourced services for financial institutions and their advisors, enabling them to efficiently manage and trade customized client portfolios through an innovative SaaS platform. Supporting over $1.5 trillion in assets and more than 5 million accounts, Vestmark is a partner to some...",Subscription,Corporate Agile,Tool,Bureaucracy,no
ClickMint,https://builtin.com/company/clickmint,AdTech • eCommerce • Marketing Tech • Generative AI,"Malibu, California, USA",9 Employees,"ClickMint pairs proprietary generative-AI diagnostics with senior CRO operators to uncover friction, launch precision tests, and unlock compounding gains—helping high-growth e-commerce brands scale faster without buying more traffic. Founded by the creator of one of the nation’s top-performing digital marketing firms—honored by Inc. as a Fastest-Growing Company for seven consecutive years and ranked among the Top 50 U.S. marketing agencies...",Services,Startup/Venture,Tool,Bureaucracy,no
WHOOP,https://builtin.com/company/whoop,Fitness • Hardware • Healthtech • Sports • Wearables,2 Offices,500 Employees,"At WHOOP, we’re on a mission to unlock human performance. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives. Our wearable device and performance optimization platform has been adopted by many of the world's greatest athletes and consumers alike.",Subscription,Startup/Venture,Tool,Media,no
Snap Inc.,https://builtin.com/company/snap-inc,Artificial Intelligence • Cloud • Machine Learning • Mobile • Software • Virtual Reality • App development,25 Offices,"5,000 Employees","Snap Inc. is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. We contribute to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together.",Advertising,Startup/Venture,Media,Tool,no
Findhelp,https://builtin.com/company/findhelp,Cloud • Edtech • Healthtech • Mobile • Social Impact • Software • Data Privacy,3 Offices,220 Employees,"We’re powering a better social safety net. Building healthier and happier communities starts with supporting the whole person. That’s why Findhelp was founded in 2010: to connect all people in need to the programs that serve them with dignity and ease. Our software platform enables community organizations, governments, and businesses across industries to easily manage and coordinate care. From screening and...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Webflow,https://builtin.com/company/webflow,Artificial Intelligence • Enterprise Web • Software • Design • Generative AI,4 Offices,800 Employees,"Webflow empowers teams — from startups to the Fortune 500 — to design, build, and grow for the web, all without writing a single line of code. Simply put: we’re changing the way the internet gets built. Instead of relying on long dev cycles or heavy engineering support, Webflow lets teams move from idea to launch faster — bringing creativity...",Subscription,Startup/Venture,Tool,None,no
Kensho Technologies,https://builtin.com/company/kensho-technologies,Artificial Intelligence • Fintech • Machine Learning • Natural Language Processing • Software • Generative AI,2 Offices,175 Employees,"At Kensho, we leverage S&P Global’s world class data to research, develop and implement leading AI and machine learning capabilities that drive fact-based, objective decision making. Data is at the heart of Kensho, and it’s our technology. We build and deploy solutions that make that data accessible, insightful, relevant and transformative.",Subscription,Corporate Agile,Tool,Bureaucracy,no
Zeta Global,https://builtin.com/company/zeta-global,AdTech • Artificial Intelligence • Marketing Tech • Software • Analytics,13 Offices,"2,429 Employees","Zeta Global (NYSE: ZETA) is the AI Marketing Cloud that leverages advanced artificial intelligence (AI) and trillions of consumer signals to make it easier for marketers to acquire, grow, and retain customers more efficiently. Through the Zeta Marketing Platform (ZMP), our vision is to make sophisticated marketing simple by unifying identity, intelligence, and omnichannel activation into a single platform –...",Subscription,Startup/Venture,Tool,Bureaucracy,no
SciPlay,https://builtin.com/company/sciplay,Gaming • Marketing Tech • Mobile • Software • App development,6 Offices,"1,000 Employees","SciPlay is a leading developer and publisher of digital games, providing entertaining free-to-play casual and social games to millions. Our data-driven approach, advanced game economy and high-quality content offer a thrilling experience. Our games are true to the authentic spirit of the world’s biggest casino brands and bring users hours of fun.",Advertising,Startup/Venture,Media,None,no
Centerfield,https://builtin.com/company/centerfield,AdTech • Consumer Web • Digital Media • eCommerce • Insurance • Marketing Tech • SEO,"Playa Vista, California, USA",890 Employees,"Super-charged customer acquisition. Centerfield delivers outcome-based digital marketing solutions and personalized omnichannel experiences for the world’s leading brands. Powered by our proprietary Dugout platform, Centerfield acquires customers at scale for leading residential service, insurance, e-commerce and B2B brands. Centerfield’s digital experiences and digital brands, such as Business.com and BroadbandNow.com, reach more than 150 million in-market shoppers annually. Centerfield is headquartered...",Transaction fees,Startup/Venture,Media,Tool,no
DraftKings,https://builtin.com/company/draftkings,Digital Media • Gaming • Information Technology • Software • Sports • Esports • Big Data Analytics,11 Offices,"6,400 Employees","It's simple, at DraftKings, we believe life is more fun when you're in on the action. For that reason, we’re committed to responsibly creating the world’s favorite games and betting experiences. We’re developing the most innovative and entertaining real money products and offers; to forever transform how people experience sports; to be a fully vertically integrated sports betting operator. It's...",Transaction fees,Startup/Venture,Media,Bureaucracy,no
Million Dollar Baby Co.,https://builtin.com/company/million-dollar-baby-co,eCommerce • Kids + Family • Other • Retail • Sales • Design • Manufacturing,"Pico Rivera, California, USA",200 Employees,"Million Dollar Baby Co. started in 1990 and is proudly family-owned and operated in Los Angeles. Since then, MDB has grown to 7 distinct brands of children’s furnishings ranging in style, aesthetic, and price, while carrying some of the industry’s most eco-conscious and award-winning designs. We can be found in retailers like Target and Amazon, and specialty retailers like Pottery...",Hardware sales,Outsourcing,Tool,None,no
Superhuman,https://builtin.com/company/superhuman-1,Artificial Intelligence • Information Technology • Machine Learning • Natural Language Processing • Productivity • Software • Generative AI,7 Offices,"1,500 Employees","Grammarly is now part of Superhuman, the AI productivity platform on a mission to unlock the superhuman potential in everyone. The Superhuman suite of apps and agents brings AI wherever people work, integrating with over 1 million applications and websites. The company’s products include Grammarly’s writing assistance, Coda’s collaborative workspaces, Mail’s inbox management, and Go, the proactive AI assistant that...",Subscription,Startup/Venture,Tool,None,no
RTB House,https://builtin.com/company/rtb-house,AdTech • Artificial Intelligence • Big Data • Digital Media • eCommerce • Machine Learning • Marketing Tech,"Fully Remote, USA","1,300 Employees","RTB House is a global technology company specializing in innovative marketing solutions powered by deep learning algorithms. Founded in 2012, the company has rapidly grown into a leader in the field of personalized advertising, offering a full-funnel marketing platform that drives real results. Our proprietary technology enables brands to deliver highly relevant and precisely targeted ads to consumers, enhancing engagement...",Advertising,Startup/Venture,Media,Tool,no
Vannevar,https://builtin.com/company/vannevar-labs,Artificial Intelligence • Machine Learning • Software • Defense,6 Offices,225 Employees,"Vannevar combines Silicon Valley innovation with former special operators to build AI for real-world national security outcomes. Since our founding in 2019, Vannevar has deployed its technology across 125 missions, safeguarding our service members and improving our country's deterrence. We believe our military service members and intelligence officers deserve access to the best technology American innovation can offer, and we are...",Licensing,Startup/Venture,Tool,Bureaucracy,no
Built In,https://builtin.com/company/built-in,Consumer Web • HR Tech,"Chicago, Illinois, USA",100 Employees,"Built In is the AI-powered career platform that connects innovative companies with professionals navigating their careers in a world reshaped by AI. For candidates, we provide AI-driven job recommendations and resources that support smarter career decisions. For employers, we deliver the always-on recruitment and reputation platform that ensures your brand is visible, trusted, and chosen. By combining employer brand insights,...",Advertising,Startup/Venture,Bureaucracy,Tool,no
